City_ID,City,Max Temp,Weather Description,Lat,Lng,Hotel Name
531,Natal,84.2,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
532,Senador Guiomard,86.0,clear sky,-10.15,-67.74,Hotel Rondon
533,Lagos,78.3,light rain,6.58,3.75,
534,Beira,77.0,few clouds,-19.84,34.84,Beira Terrace Hotel
537,Sulaco,77.0,broken clouds,14.92,-87.27,Villa Mode
539,Goure,82.0,broken clouds,13.98,10.27,
540,El Seibo,87.8,scattered clouds,18.76,-69.04,Defensa Civil del Seibo
544,Bubaque,84.06,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
548,Numan,82.83,clear sky,9.47,12.03,Zangun Motel
550,Marsh Harbour,81.28,clear sky,26.54,-77.06,Abaco Beach Resort
556,Mahajanga,80.6,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
557,Kalabo,81.34,overcast clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
559,Conceicao Do Araguaia,88.09,overcast clouds,-8.26,-49.26,Tarumã Tropical Hotel
563,Rehoboth,75.43,clear sky,-23.32,17.08,Noble Luminous Accommodation
564,Aquiraz,86.0,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
565,Bandarbeyla,77.54,clear sky,9.49,50.81,REER XOOSHLE GROUP
566,Olinda,84.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
569,Tifton,75.99,scattered clouds,31.45,-83.51,Hilton Garden Inn Tifton
574,Ahuimanu,79.0,few clouds,21.44,-157.84,Paradise Bay Resort
588,Kilinochchi,77.27,clear sky,9.4,80.4,Solaivanam Guest House
590,Cepu,75.38,heavy intensity rain,-7.15,111.59,OYO 673 Hotel Cepu Indah 1
592,Hambantota,80.6,overcast clouds,6.12,81.12,Bungalow 63
600,Basudebpur,77.43,overcast clouds,21.14,86.74,Basudevpur Ice Factory
601,Warri,77.7,overcast clouds,5.52,5.75,BON Hotel Delta
602,Riberalta,89.6,broken clouds,-10.98,-66.1,Hotel Colonial
605,Carutapera,85.44,clear sky,-1.2,-46.02,Lidera
607,Leon,78.8,clear sky,21.12,-101.67,Hotel Misión León
608,Mogadishu,80.04,light rain,2.04,45.34,Hotel Juba
612,Thinadhoo,83.53,overcast clouds,0.53,72.93,
613,Katiola,84.2,few clouds,8.13,-5.1,Kakoumani
622,Rawson,88.03,clear sky,-43.3,-65.1,Hotel Punta León
626,Samarai,81.1,overcast clouds,-10.62,150.67,Nuli Sapi
642,Muli,82.83,overcast clouds,2.92,73.57,Medhufushi Island Resort
646,Kalawit,77.86,heavy intensity rain,8.07,122.52,Ompoy Pension House
655,Eyl,80.35,clear sky,7.98,49.82,Amiin Hotel
656,Ambulu,75.51,heavy intensity rain,-8.35,113.61,Hotel Ambulu Jember
658,Varadero,86.0,scattered clouds,23.15,-81.25,Hotel Tuxpan Varadero
664,Mangrol,79.39,clear sky,21.12,70.12,Hotel The Royal Honours
665,Boa Vista,82.4,shower rain,2.82,-60.67,Aipana Plaza Hotel
670,Bandar-E Lengeh,77.0,clear sky,26.56,54.88,کافی نت پارس
672,Umm Kaddadah,86.72,clear sky,13.6,26.69,
682,Maturin,82.24,light rain,9.75,-63.18,Residencias Guaritos I
683,Tahoua,86.0,clear sky,14.89,5.27,Bungalows Guesthouse
686,Sola,82.4,broken clouds,-13.88,167.55,Ulkel Guest House
687,Narasannapeta,76.86,broken clouds,18.42,84.05,G.lingaraju home
689,Kandi,81.09,clear sky,11.13,2.94,Maison des producteurs kandi
691,Mandera,82.2,moderate rain,3.94,41.87,Kornesh Hotel and Lodging
692,Assomada,84.2,scattered clouds,15.1,-23.68,Residencial Cosmos
694,Mecca,80.67,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
