City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
149,Bajil,YE,15.06,43.29,79.95,55,0,1.34,clear sky
150,Flin Flon,CA,54.77,-101.86,34.21,94,100,8.59,overcast clouds
151,Paamiut,GL,61.99,-49.67,26.62,93,45,6.44,scattered clouds
152,Zhanaozen,KZ,43.3,52.8,55.85,32,0,12.24,clear sky
153,La Rioja,ES,42.25,-2.5,55.99,78,70,6.04,broken clouds
154,Mayo,US,38.89,-76.51,46.0,48,1,31.09,clear sky
155,Margate,GB,51.38,1.39,62.01,86,100,7.0,light rain
156,Koumac,NC,-20.57,164.28,79.41,65,75,5.66,broken clouds
157,Geraldton,AU,-28.77,114.6,68.0,60,75,20.8,broken clouds
158,Cayenne,GF,4.93,-52.33,75.2,100,97,3.36,overcast clouds
159,Kemin,KG,42.78,75.69,54.36,32,86,4.25,overcast clouds
160,Luban,PL,51.12,15.29,55.0,96,100,8.01,overcast clouds
161,Carnarvon,AU,-24.87,113.63,73.4,49,40,17.22,scattered clouds
162,Lufilufi,WS,-13.87,-171.6,93.2,52,40,16.11,scattered clouds
163,Yellowknife,CA,62.46,-114.35,10.99,84,75,9.17,light snow
164,Marzuq,YE,14.4,46.47,66.4,26,0,1.54,clear sky
165,Buala,SB,-8.14,159.59,86.18,67,24,3.24,light rain
166,Kokologo,BF,12.19,-1.89,74.8,28,0,7.72,clear sky
167,Sao Miguel Do Araguaia,BR,-13.28,-50.16,71.71,91,100,5.7,overcast clouds
168,Champerico,GT,14.3,-91.92,69.01,95,56,1.36,broken clouds
169,Lubao,PH,14.92,120.55,86.0,88,90,6.93,moderate rain
170,Cairns,AU,-16.92,145.77,91.4,41,0,11.41,clear sky
171,Bethel,US,41.37,-73.41,44.6,65,75,9.17,broken clouds
172,Vila Franca Do Campo,PT,37.72,-25.43,62.6,82,20,12.75,few clouds
173,Flinders,AU,-34.58,150.86,73.0,64,71,5.01,broken clouds
174,Segezha,RU,63.74,34.32,34.0,91,92,15.19,overcast clouds
175,Chumikan,RU,54.72,135.31,19.42,96,100,9.57,snow
176,Sao Joao Da Barra,BR,-21.64,-41.05,66.43,80,65,17.72,broken clouds
